Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,746,4,4,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,19,305,2,4,2,107,110.0
Female,Loyal Customer,Business travel,Business,satisfied,29,3973,4,4,4,2,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,21,1120,3,3,3,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,25,226,3,5,3,0,8.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,763,4,2,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,47,308,4,4,5,2,0.0
Female,Loyal Customer,Business travel,Business,satisfied,37,3674,5,5,5,38,21.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,17,1192,2,3,2,0,12.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,37,192,3,2,3,0,0.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,36,143,4,5,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,53,2180,5,5,3,0,11.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,1014,5,3,5,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,50,2993,4,4,5,3,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,21,2504,3,4,3,21,26.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,27,1099,3,4,3,0,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,30,636,3,5,3,7,6.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,39,331,4,4,4,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,59,160,1,4,1,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,66,223,4,5,4,0,0.0
Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,50,1069,2,4,1,79,135.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,19,580,3,3,3,0,4.0
Male,disloyal Customer,Business travel,Business,satisfied,14,1172,3,4,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,35,416,1,4,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,7,1047,1,5,1,0,13.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,44,667,5,5,5,83,74.0
Female,disloyal Customer,Business travel,Eco,satisfied,27,836,5,3,3,170,161.0
Male,Loyal Customer,Business travel,Business,satisfied,48,3791,5,5,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,48,447,5,5,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,589,3,5,3,10,16.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,26,922,4,5,4,63,67.0
Male,Loyal Customer,Business travel,Business,satisfied,30,2462,4,5,4,0,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,34,2565,4,4,3,0,45.0
Male,Loyal Customer,Business travel,Business,satisfied,50,925,5,5,4,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,30,100,1,4,1,13,38.0
Male,Loyal Customer,Business travel,Business,satisfied,50,3587,5,5,4,7,1.0
Male,Loyal Customer,Business travel,Business,satisfied,28,2226,5,1,5,1,0.0
Female,Loyal Customer,Personal Travel,Eco,satisfied,69,377,1,1,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,59,3601,4,4,3,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,53,151,5,4,4,0,6.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,1136,2,4,2,2,0.0
Male,Loyal Customer,Business travel,Business,satisfied,57,2619,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,57,3501,5,5,5,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,32,236,1,3,1,10,14.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,21,373,2,3,2,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,36,631,1,4,1,0,4.0
Male,Loyal Customer,Business travel,Business,satisfied,58,3334,5,5,5,0,0.0
Male,Loyal Customer,Business travel,Eco,satisfied,40,199,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,44,2572,4,4,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,762,5,3,5,8,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,36,547,2,5,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,39,1640,1,1,4,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,552,5,4,5,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,46,3003,1,1,2,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,40,2885,5,5,3,4,1.0
Female,Loyal Customer,Business travel,Eco,satisfied,60,328,5,5,5,0,0.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,44,1874,4,4,4,0,20.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,52,861,5,5,4,5,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,190,1,3,1,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,522,2,2,2,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,26,3267,3,2,3,30,32.0
Female,Loyal Customer,Business travel,Business,satisfied,17,3808,5,4,5,0,11.0
Female,Loyal Customer,Business travel,Business,satisfied,59,1675,3,3,3,2,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,447,5,3,5,0,11.0
Female,Loyal Customer,Business travel,Business,satisfied,49,1068,5,5,5,42,61.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,57,2747,3,3,2,0,0.0
Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,53,280,2,2,4,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,63,820,3,3,3,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,54,1235,3,1,3,0,0.0
Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,14,591,3,1,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,65,109,3,1,3,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,43,213,4,3,3,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,39,1064,3,3,2,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,65,1400,3,3,3,8,24.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,20,909,1,5,1,41,32.0
Female,Loyal Customer,Business travel,Business,satisfied,47,2854,5,5,4,10,1.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,36,413,5,3,5,48,42.0
Male,Loyal Customer,Business travel,Business,satisfied,41,1601,4,4,3,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,54,1739,4,4,4,56,77.0
Male,Loyal Customer,Business travel,Business,satisfied,41,1626,5,5,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,687,4,4,4,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,516,5,5,5,0,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,23,484,2,4,2,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,40,1598,2,4,2,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,280,3,1,2,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,38,1674,3,2,3,3,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,26,1235,3,4,3,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,37,462,5,4,5,3,8.0
Female,Loyal Customer,Business travel,Business,satisfied,54,3879,4,4,5,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,18,429,4,5,4,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,48,1069,3,3,2,56,47.0
Male,Loyal Customer,Business travel,Eco,satisfied,44,867,4,3,4,2,21.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,37,134,1,4,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,589,2,5,2,88,88.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,68,626,1,1,4,22,23.0
Female,Loyal Customer,Business travel,Business,satisfied,40,3393,2,2,4,15,5.0
Male,Loyal Customer,Business travel,Business,satisfied,53,813,4,4,3,18,2.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,17,402,5,3,5,16,21.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,49,2749,4,2,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,829,5,2,5,16,1.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,30,312,2,4,2,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,50,397,4,4,4,29,29.0
Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,37,406,3,3,3,0,5.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,446,2,4,2,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,38,102,3,2,3,0,0.0
Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,41,2342,5,5,1,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,315,3,4,3,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,57,870,3,3,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,40,3784,5,5,4,4,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,1053,3,5,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,422,2,5,2,0,9.0
Female,disloyal Customer,Business travel,Eco,satisfied,24,484,1,3,1,0,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,44,395,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,26,488,3,2,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,70,306,5,5,5,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,41,3928,2,2,3,0,0.0
Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,18,323,1,3,1,101,112.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,1797,3,4,3,10,15.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,37,431,3,4,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,838,5,4,5,9,0.0
Male,disloyal Customer,Business travel,Business,satisfied,37,372,4,5,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,40,3896,5,5,5,0,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,38,936,3,5,3,0,0.0
Male,disloyal Customer,Business travel,Eco,satisfied,16,1011,2,4,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,40,1916,5,5,3,46,44.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,447,2,5,2,26,16.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,38,456,3,3,3,103,120.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,62,1065,3,5,3,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,40,390,3,3,5,0,0.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,23,692,5,4,5,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,37,2788,5,5,3,37,50.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,27,621,1,4,1,10,6.0
Male,Loyal Customer,Personal Travel,Business,satisfied,38,1721,2,2,3,6,0.0
Male,Loyal Customer,Business travel,Business,satisfied,48,3465,5,4,3,10,0.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,49,628,5,4,5,0,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,37,184,3,3,2,13,14.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,23,259,3,3,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,30,1689,5,5,5,29,15.0
Female,disloyal Customer,Business travel,Eco,satisfied,20,130,5,5,5,0,0.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,26,631,1,5,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,45,2614,5,5,5,12,0.0
Female,Loyal Customer,Business travel,Business,satisfied,53,2865,5,5,5,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,43,459,3,3,2,0,4.0
Female,Loyal Customer,Business travel,Business,satisfied,47,2509,4,4,5,0,25.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,1605,1,1,4,0,0.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,14,1605,4,3,4,6,13.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,33,493,2,5,2,49,38.0
Female,Loyal Customer,Business travel,Business,satisfied,53,794,5,5,4,20,0.0
Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,8,175,2,4,2,0,0.0
Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,36,337,4,4,4,15,24.0
Male,Loyal Customer,Business travel,Business,satisfied,59,1795,4,4,3,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,912,4,5,4,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,421,3,4,3,11,14.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,25,2248,3,3,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,731,1,5,1,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,64,1475,4,4,4,0,2.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,399,4,5,4,47,36.0
Male,Loyal Customer,Business travel,Business,satisfied,47,3431,5,5,4,27,23.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,7,1846,2,3,2,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,63,337,4,4,5,0,16.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,35,550,2,3,2,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,495,4,2,4,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,49,2951,4,4,2,2,0.0
Female,Loyal Customer,Business travel,Business,satisfied,40,2600,5,5,5,26,9.0
Female,disloyal Customer,Business travel,Business,satisfied,23,854,3,4,3,8,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,429,1,1,5,39,29.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,925,4,4,4,9,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,814,3,3,3,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,760,3,4,3,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,55,2265,5,5,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,60,684,4,4,4,0,25.0
Female,Loyal Customer,Business travel,Business,satisfied,35,122,4,5,4,84,83.0
Male,disloyal Customer,Business travel,Eco,satisfied,24,566,2,3,2,5,10.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,32,3324,2,3,2,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,47,738,4,4,2,0,13.0
Female,Loyal Customer,Business travel,Business,satisfied,50,3809,5,5,5,39,37.0
Female,disloyal Customer,Business travel,Eco,satisfied,23,302,1,4,1,28,22.0
Female,Loyal Customer,Business travel,Business,satisfied,39,3811,4,5,4,310,300.0
Male,Loyal Customer,Business travel,Business,satisfied,47,1187,5,5,4,0,0.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,67,610,1,4,1,103,106.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,56,370,3,3,1,0,9.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,22,605,2,3,2,35,25.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,49,544,4,4,2,128,161.0
Female,Loyal Customer,Business travel,Business,satisfied,46,731,5,5,4,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,41,845,2,2,1,31,13.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,35,495,5,5,5,16,12.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,25,696,1,4,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,42,575,3,3,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,1235,2,2,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,13,1009,5,3,5,9,12.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,2227,1,4,1,0,0.0
Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,20,637,2,1,2,3,5.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,12,1188,3,3,3,22,29.0
Male,Loyal Customer,Business travel,Business,satisfied,59,302,4,4,4,15,8.0
Male,Loyal Customer,Business travel,Business,satisfied,35,3786,3,3,2,0,12.0
Male,Loyal Customer,Business travel,Business,satisfied,35,483,3,3,1,37,45.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,48,954,1,5,1,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,59,3027,5,5,5,7,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,29,1023,4,4,4,0,73.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,38,1825,2,5,2,1,0.0
Male,Loyal Customer,Business travel,Business,satisfied,36,3996,3,3,1,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,70,814,2,1,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,54,3861,5,5,5,0,8.0
Male,Loyal Customer,Business travel,Business,satisfied,33,386,4,4,4,3,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,1797,3,3,5,21,2.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,1947,1,5,1,18,13.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,14,164,2,4,2,0,0.0
Female,Loyal Customer,Personal Travel,Eco,satisfied,28,762,3,3,3,0,0.0
Female,Loyal Customer,Business travel,Eco,satisfied,31,101,5,1,5,6,12.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,14,119,5,4,5,123,123.0
Female,Loyal Customer,Business travel,Business,satisfied,60,337,4,4,5,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,23,1513,4,3,4,3,0.0
Female,Loyal Customer,Business travel,Business,satisfied,18,2901,4,5,4,15,4.0
Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,27,130,4,4,4,0,1.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,68,575,2,4,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,50,1589,3,3,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,32,725,4,1,4,6,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,48,3630,3,3,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,49,3323,5,5,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,61,2133,1,5,1,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,47,547,3,5,3,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,266,2,3,2,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,28,2198,4,5,4,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,54,204,3,2,3,0,0.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,41,1416,3,3,3,0,0.0
Male,Loyal Customer,Business travel,Eco Plus,satisfied,24,737,5,2,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,51,3554,5,5,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,29,2999,5,4,5,0,9.0
Female,disloyal Customer,Business travel,Business,satisfied,45,529,4,5,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,47,1996,5,5,5,0,0.0
Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,28,253,3,4,3,14,7.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,43,569,3,4,3,0,1.0
Female,Loyal Customer,Business travel,Eco,satisfied,41,270,4,2,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,19,270,5,5,5,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,31,585,4,1,4,0,8.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,41,1896,1,1,4,0,9.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,13,145,1,3,1,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,56,3309,4,4,4,0,2.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,42,1073,4,5,4,0,0.0
Male,Loyal Customer,Personal Travel,Eco,satisfied,40,589,3,3,3,0,0.0
Female,Loyal Customer,Business travel,Eco Plus,satisfied,58,493,2,2,5,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,7,611,2,4,2,132,131.0
Male,Loyal Customer,Business travel,Business,satisfied,44,2299,2,1,4,163,181.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,1121,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,31,2330,4,5,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,41,1157,5,5,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,223,2,2,4,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,48,2817,5,5,4,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,11,440,1,5,1,12,4.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,27,455,2,4,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,54,937,4,4,4,11,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,337,4,4,5,0,8.0
Female,disloyal Customer,Business travel,Business,satisfied,30,837,2,4,2,0,0.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,363,5,3,5,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,66,650,4,4,2,0,3.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,948,4,4,1,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,49,414,1,1,3,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,925,1,5,1,0,0.0
Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,62,2212,1,1,2,10,18.0
Male,Loyal Customer,Business travel,Business,satisfied,55,3477,5,5,5,1,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,10,693,4,4,4,66,57.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,427,2,2,2,0,0.0
Female,disloyal Customer,Business travel,Eco,satisfied,24,1096,5,5,5,0,0.0
Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,1430,4,4,4,27,15.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,8,373,4,2,4,0,0.0
Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,28,1824,3,3,3,0,6.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,21,2296,3,5,3,0,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,43,640,1,1,3,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,41,544,5,5,3,0,9.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,1050,5,1,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,48,337,5,5,3,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,52,909,3,3,3,0,0.0
Female,disloyal Customer,Business travel,Eco,satisfied,23,759,4,4,4,0,1.0
Female,disloyal Customer,Business travel,Business,satisfied,22,521,5,1,5,0,0.0
Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,35,363,2,3,2,0,0.0
Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,25,370,4,3,4,0,13.0
Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,59,908,3,3,3,0,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,40,436,4,5,4,244,240.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,26,862,3,4,3,0,2.0
Female,Loyal Customer,Business travel,Business,satisfied,45,2666,4,4,4,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,38,3668,4,4,4,7,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,53,954,5,1,5,0,8.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,53,1506,5,2,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,46,3073,5,5,4,3,0.0
Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,66,221,5,5,3,0,0.0
Female,Loyal Customer,Business travel,Business,satisfied,40,1846,5,5,3,1,3.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,47,867,2,3,2,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,306,2,3,2,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,49,84,5,3,3,0,0.0
Male,Loyal Customer,Business travel,Eco,satisfied,47,750,4,1,4,0,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,34,270,5,4,5,56,57.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,66,933,2,5,2,0,0.0
Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,63,452,3,4,3,6,0.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,51,862,3,4,3,78,70.0
Male,Loyal Customer,Business travel,Eco,satisfied,48,1005,5,2,5,0,12.0
Male,Loyal Customer,Business travel,Eco,satisfied,37,255,5,4,5,0,0.0
Male,Loyal Customer,Business travel,Business,satisfied,43,2606,5,5,3,5,7.0
Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,34,1405,5,2,5,1,0.0
Male,Loyal Customer,Business travel,Eco,satisfied,55,521,5,1,5,0,2.0
Female,Loyal Customer,Business travel,Business,satisfied,44,2211,3,3,5,57,44.0
Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,65,849,1,5,1,1,0.0
Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,59,1452,4,4,2,29,27.0
Female,Loyal Customer,Business travel,Business,satisfied,51,1587,4,4,4,1,17.0
Male,Loyal Customer,Business travel,Business,satisfied,55,545,5,5,3,3,0.0
Female,Loyal Customer,Business travel,Business,satisfied,29,3487,5,5,5,93,81.0
Female,disloyal Customer,Business travel,Business,satisfied,37,312,2,5,2,0,0.0
Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,47,1072,4,3,4,6,13.0
